budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,Character Name,Lead actor,Director,release_year,return,release_day
0.0,21032,Balto,12.140733,1995-12-22,11348324.0,Balto,7.1,423.0,Balto Collection,"['Family', 'Animation', 'Adventure']",Universal Pictures,Amblin Entertainment,Amblimation,Balto (voice),Kevin Bacon,Simon Wells,1995,0.0,viernes
44000000.0,10858,Nixon,5.092,1995-12-22,13681765.0,Nixon,7.1,72.0,,"['History', 'Drama']",Hollywood Pictures,Cinergi Pictures Entertainment,,Richard Nixon,Anthony Hopkins,Oliver Stone,1995,0.3109492045454545,viernes
98000000.0,1408,Cutthroat Island,7.284477,1995-12-22,10017322.0,Cutthroat Island,5.7,137.0,,"['Action', 'Adventure']",Le Studio Canal+,Laurence Mark Productions,Metro-Goldwyn-Mayer (MGM),Morgan Adams,Geena Davis,Renny Harlin,1995,0.1022175714285714,viernes
52000000.0,524,Casino,10.137389,1995-11-22,116112375.0,Casino,7.8,1343.0,,"['Drama', 'Crime']",Universal Pictures,Légende Entreprises,Syalis DA,Sam 'Ace' Rothstein,Robert De Niro,Martin Scorsese,1995,2.2329302884615383,miã©rcoles
16500000.0,4584,Sense and Sensibility,10.673167,1995-12-13,135000000.0,Sense and Sensibility,7.2,364.0,,"['Drama', 'Romance']",Columbia Pictures Corporation,Mirage Enterprises,,Marianne Dashwood,Kate Winslet,Ang Lee,1995,8.181818181818182,miã©rcoles
4000000.0,5,Four Rooms,9.026586,1995-12-09,4300000.0,Four Rooms,6.5,539.0,,"['Crime', 'Comedy']",Miramax Films,A Band Apart,,Ted the Bellhop,Tim Roth,Allison Anders,1995,1.075,sã¡bado
30000000.0,9273,Ace Ventura: When Nature Calls,8.205448,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,Ace Ventura Collection,"['Crime', 'Comedy', 'Adventure']",O Entertainment,Warner Bros.,Morgan Creek Productions,Ace Ventura,Jim Carrey,Steve Oedekerk,1995,7.079517766666667,viernes
60000000.0,11517,Money Train,7.337906,1995-11-21,35431113.0,Money Train,5.4,224.0,,"['Action', 'Comedy', 'Crime']",Columbia Pictures,,,John,Wesley Snipes,Joseph Ruben,1995,0.59051855,martes
30250000.0,8012,Get Shorty,12.669608,1995-10-20,115101622.0,Get Shorty,6.4,305.0,Chili Palmer Collection,"['Comedy', 'Thriller', 'Crime']",Jersey Films,Metro-Goldwyn-Mayer (MGM),,Chili Palmer,John Travolta,Barry Sonnenfeld,1995,3.805012297520661,viernes
0.0,1710,Copycat,10.701801,1995-10-27,0.0,Copycat,6.5,199.0,,"['Drama', 'Thriller']",Regency Enterprises,New Regency Pictures,,Helen Hudson,Sigourney Weaver,Jon Amiel,1995,0.0,viernes
50000000.0,9691,Assassins,11.065939,1995-10-06,30303072.0,Assassins,6.0,394.0,,"['Action', 'Adventure', 'Crime', 'Thriller']",Silver Pictures,Canal+,Warner Bros.,Robert Rath,Sylvester Stallone,Richard Donner,1995,0.60606144,viernes
0.0,12665,Powder,12.133094,1995-10-27,0.0,Powder,6.3,143.0,,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",Caravan Pictures,Hollywood Pictures,,Jessie Caldwell,Mary Steenburgen,Victor Salva,1995,0.0,viernes
3600000.0,451,Leaving Las Vegas,10.332025,1995-10-27,49800000.0,Leaving Las Vegas,7.1,365.0,,"['Drama', 'Romance']",United Artists,Intial Productions,,Ben Sanderson,Nicolas Cage,Mike Figgis,1995,13.833333333333334,viernes
0.0,16420,Othello,1.845899,1995-12-15,0.0,Othello,7.0,33.0,,['Drama'],Columbia Pictures,Castle Rock Entertainment,,Othello,Laurence Fishburne,Oliver Parker,1995,0.0,viernes
12000000.0,9263,Now and Then,8.681325,1995-10-20,27400000.0,Now and Then,6.6,91.0,,"['Comedy', 'Drama', 'Family']",New Line Cinema,,,Young Roberta Martin,Christina Ricci,Lesli Linka Glatter,1995,2.283333333333333,viernes
0.0,17015,Persuasion,2.228434,1995-09-27,0.0,Persuasion,7.4,36.0,,"['Drama', 'Romance']",BBC Films,,,Anne Elliott,Amanda Root,Roger Michell,1995,0.0,miã©rcoles
18000000.0,902,La Cité des Enfants Perdus,9.822423,1995-05-16,1738611.0,The City of Lost Children,7.6,308.0,,"['Fantasy', 'Science Fiction', 'Adventure']",Procirep,Constellation Productions,France 3 Cinéma,One,Ron Perlman,Jean-Pierre Jeunet,1995,0.0965895,martes
0.0,37557,摇啊摇，摇到外婆桥,1.100915,1995-04-30,0.0,Shanghai Triad,6.5,17.0,,"['Drama', 'Crime']",Ministère des Affaires Étrangères,Alpha Films,La Sept Cinéma,Xiao Jingbao,Gong Li,Zhang Yimou,1995,0.0,domingo
0.0,9909,Dangerous Minds,9.481338,1995-08-11,180000000.0,Dangerous Minds,6.4,249.0,,"['Drama', 'Crime']",Hollywood Pictures,Via Rosa Productions,Don Simpson/Jerry Bruckheimer Films,Louanne Johnson,Michelle Pfeiffer,John N. Smith,1995,0.0,viernes
29500000.0,63,Twelve Monkeys,12.297305,1995-12-29,168840000.0,Twelve Monkeys,7.4,2470.0,,"['Science Fiction', 'Thriller', 'Mystery']",Universal Pictures,Atlas Entertainment,Classico,James Cole,Bruce Willis,Terry Gilliam,1995,5.7233898305084745,viernes
0.0,78802,"Guillaumet, les ailes du courage",0.745542,1996-09-18,0.0,Wings of Courage,6.8,4.0,,"['Romance', 'Adventure']",Iwerks Entertainment,,,Henri Guillaumet,Craig Sheffer,Jean-Jacques Annaud,1996,0.0,miã©rcoles
30000000.0,9598,Babe,14.404764,1995-07-18,254134910.0,Babe,6.0,756.0,Babe Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']",Universal Pictures,Kennedy Miller Productions,,Babe the Gallant Pig (voice),Christine Cavanaugh,Chris Noonan,1995,8.471163666666667,martes
0.0,47018,Carrington,1.493361,1995-11-08,0.0,Carrington,6.4,16.0,,"['History', 'Drama', 'Romance']",StudioCanal,Cinéa,Euston Films,Dora Carrington,Emma Thompson,Christopher Hampton,1995,0.0,miã©rcoles
11000000.0,687,Dead Man Walking,6.891317,1995-12-29,39363635.0,Dead Man Walking,7.3,350.0,,['Drama'],Havoc,PolyGram Filmed Entertainment,Working Title Films,Sister Helen Prejean,Susan Sarandon,Tim Robbins,1995,3.5785122727272727,viernes
0.0,139405,Across the Sea of Time,0.114469,1995-10-20,0.0,Across the Sea of Time,3.5,2.0,,"['Adventure', 'History', 'Drama', 'Family']",Sony New Technologies,,,Tomas Minton,Peter Reznick,Stephen Low,1995,0.0,viernes
0.0,33689,It Takes Two,7.777735,1995-11-17,0.0,It Takes Two,6.1,149.0,,"['Comedy', 'Family', 'Romance']",Dualstar Productions,Warner Bros.,Rysher Entertainment,Diane Barrows,Kirstie Alley,Andy Tennant,1995,0.0,viernes
12000000.0,9603,Clueless,9.882383,1995-07-19,0.0,Clueless,6.9,828.0,,"['Comedy', 'Drama', 'Romance']",Paramount Pictures,,,Cher Horowitz,Alicia Silverstone,Amy Heckerling,1995,0.0,miã©rcoles
0.0,34615,"Cry, the Beloved Country",0.894647,1995-12-15,676525.0,"Cry, the Beloved Country",6.7,13.0,,['Drama'],Miramax,Distant Horizon,Alpine Pty Limited,Rev. Stephen Kumalo,James Earl Jones,Darrell James Roodt,1995,0.0,viernes
0.0,31174,Richard III,4.561387,1995-12-29,0.0,Richard III,6.9,50.0,,"['Drama', 'War']",British Screen,Mayfair Entertainment International,,Richard III,Ian McKellen,Richard Loncraine,1995,0.0,viernes
10000000.0,11443,Dead Presidents,9.87957,1995-10-06,0.0,Dead Presidents,6.6,80.0,,"['Action', 'Crime', 'Drama', 'History']",Caravan Pictures,Underworld Entertainment,Hollywood Pictures,Anthony Curtis,Larenz Tate,Albert Hughes,1995,0.0,viernes
19000000.0,35196,Restoration,10.979269,1995-12-29,0.0,Restoration,6.3,30.0,,"['Drama', 'Romance']",Miramax Films,,,Robert Merivel,Robert Downey Jr.,Michael Hoffman,1995,0.0,viernes
18000000.0,9312,Mortal Kombat,10.870138,1995-08-18,122195920.0,Mortal Kombat,5.4,452.0,Mortal Kombat Collection,"['Action', 'Fantasy']",New Line Cinema,Threshold Entertainment,,Lord Rayden,Christopher Lambert,Paul W.S. Anderson,1995,6.788662222222222,viernes
20000000.0,577,To Die For,10.448481,1995-05-20,21284514.0,To Die For,6.7,177.0,,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",The Rank Organisation,Columbia Pictures Corporation,,Suzanne Stone Maretto,Nicole Kidman,Gus Van Sant,1995,1.0642257,sã¡bado
10000000.0,11861,How To Make An American Quilt,4.485958,1995-10-06,23574130.0,How To Make An American Quilt,6.5,38.0,,"['Drama', 'Romance']",Universal Pictures,Amblin Entertainment,,Finn Dodd,Winona Ryder,Jocelyn Moorhouse,1995,2.357413,viernes
33000000.0,807,Se7en,18.45743,1995-09-22,327311859.0,Se7en,8.1,5915.0,,"['Crime', 'Mystery', 'Thriller']",New Line Cinema,Juno Pix,Cecchi Gori Pictures,Detective David Mills,Brad Pitt,David Fincher,1995,9.91854118181818,viernes
55000000.0,10530,Pocahontas,13.280069,1995-06-14,346079773.0,Pocahontas,6.7,1509.0,Pocahontas Collection,"['Adventure', 'Animation', 'Drama', 'Family']",Walt Disney Pictures,Walt Disney Feature Animation,,Pocahontas (voice),Irene Bedard,Mike Gabriel,1995,6.292359509090909,miã©rcoles
0.0,8391,When Night Is Falling,3.302524,1995-05-05,0.0,When Night Is Falling,5.9,10.0,,"['Drama', 'Romance']",Alliance Communications Corporation,,,Camille Baker,Pascale Bussières,Patricia Rozema,1995,0.0,viernes
6000000.0,629,The Usual Suspects,16.302466,1995-07-19,23341568.0,The Usual Suspects,8.1,3334.0,,"['Drama', 'Crime', 'Thriller']",Blue Parrot Productions,Bad Hat Harry Productions,,Michael McManus,Stephen Baldwin,Bryan Singer,1995,3.890261333333333,miã©rcoles
0.0,117164,Guardian Angel,0.595949,1994-11-22,0.0,Guardian Angel,6.3,3.0,,"['Action', 'Thriller', 'Drama']",,,,Cynthia Mckay,Cynthia Rothrock,Richard W. Munchkin,1994,0.0,martes
15000000.0,11448,Mighty Aphrodite,15.899134,1995-09-13,6700000.0,Mighty Aphrodite,6.7,145.0,,"['Comedy', 'Romance']",Miramax Films,Magnolia Pictures,,Lenny,Woody Allen,Woody Allen,1995,0.4466666666666666,miã©rcoles
0.0,49133,Lamerica,1.361286,1994-01-01,0.0,Lamerica,7.7,11.0,,"['Drama', 'Foreign']",,,,Gino,Enrico Lo Verso,Gianni Amelio,1994,0.0,sã¡bado
0.0,26441,The Big Green,5.982764,1995-09-29,0.0,The Big Green,5.2,41.0,,"['Action', 'Adventure', 'Comedy', 'Family']",Walt Disney Pictures,Caravan Pictures,,Sheriff Tom Palmer,Steve Guttenberg,Holly Goldberg Sloan,1995,0.0,viernes
0.0,97406,Georgia,4.093443,1995-05-19,0.0,Georgia,6.1,15.0,,['Drama'],Miramax Films,CiBy 2000,,Sadie Flood,Jennifer Jason Leigh,Ulu Grosbard,1995,0.0,viernes
0.0,124057,Kids of the Round Table,0.307075,1997-07-08,0.0,Kids of the Round Table,3.0,1.0,,,Telefilm Canada,Melenny Productions,,Alex Cole,Johnny Morina,Robert Tinnell,1997,0.0,martes
0.0,9089,Home for the Holidays,8.416802,1995-11-02,17519169.0,Home for the Holidays,6.3,39.0,,"['Comedy', 'Drama', 'Romance']",Paramount Pictures,Egg Pictures,PolyGram Filmed Entertainment,Claudia Larson,Holly Hunter,Jodie Foster,1995,0.0,jueves
0.0,11010,Il postino,10.168437,1994-09-22,0.0,The Postman,7.6,181.0,,"['Comedy', 'Drama', 'Romance']",,,,Pablo Neruda,Philippe Noiret,Michael Radford,1994,0.0,jueves
0.0,99040,Le confessionnal,0.120789,1995-09-29,0.0,The Confessional,6.5,2.0,,"['Thriller', 'Drama', 'Mystery']",,,,Pierre Lamontagne,Lothaire Bluteau,Robert Lepage,1995,0.0,viernes
45000000.0,11359,The Indian in the Cupboard,10.673296,1995-07-14,0.0,The Indian in the Cupboard,5.9,136.0,,"['Adventure', 'Family', 'Fantasy']",Paramount Pictures,Columbia Pictures Corporation,The Kennedy/Marshall Company,Omri,Hal Scardino,Frank Oz,1995,0.0,viernes
20000000.0,17182,Eye for an Eye,4.733526,1996-01-12,0.0,Eye for an Eye,5.8,65.0,,"['Drama', 'Thriller']",Paramount Pictures,,,Karen McCann,Sally Field,John Schlesinger,1996,0.0,viernes
0.0,2054,Mr. Holland's Opus,7.137117,1995-12-29,106269971.0,Mr. Holland's Opus,6.9,115.0,,"['Music', 'Drama', 'Family']",Hollywood Pictures,The Charlie Mopic Company,PolyGram Filmed Entertainment,Glenn Holland,Richard Dreyfuss,Stephen Herek,1995,0.0,viernes
0.0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,1996-01-12,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,,['Comedy'],Miramax Films,Island Pictures,Ivory Way Productions,Ashtray,Shawn Wayans,Paris Barclay,1996,0.0,viernes
0.0,19760,Two If by Sea,2.174487,1996-01-12,0.0,Two If by Sea,4.5,14.0,,"['Comedy', 'Romance']",Warner Bros.,Morgan Creek Productions,,Roz,Sandra Bullock,Bill Bennett,1996,0.0,viernes
15000000.0,9536,Bio-Dome,6.387469,1996-01-12,0.0,Bio-Dome,4.4,110.0,,['Comedy'],Metro-Goldwyn-Mayer (MGM),Motion Picture Corporation of America (MPCA),3 Arts Entertainment,Bud Macintosh,Pauly Shore,Jason Bloom,1996,0.0,viernes
0.0,11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,1996-01-12,2409225.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,The Lawnmower Man Collection,"['Action', 'Science Fiction']",New Line Cinema,,,Dr. Benjamin Trace,Patrick Bergin,Farhad Mann,1996,0.0,viernes
0.0,40628,Two Bits,4.046208,1995-10-22,0.0,Two Bits,5.4,11.0,,"['Drama', 'Family']",Miramax Films,,,Gennaro Spirito,Jerry Barone,James Foley,1995,0.0,domingo
0.0,4482,Gazon maudit,2.518051,1995-02-08,0.0,French Twist,6.0,43.0,,"['Comedy', 'Romance']",Renn Productions,Les Films Flam,TF1 Films Production,Loli,Victoria Abril,Josiane Balasko,1995,0.0,miã©rcoles
3500000.0,10634,Friday,14.56965,1995-04-26,28215918.0,Friday,7.0,513.0,Friday Collection,['Comedy'],New Line Cinema,,,Craig Jones,Ice Cube,F. Gary Gray,1995,8.061690857142857,miã©rcoles
19000000.0,755,From Dusk Till Dawn,15.339153,1996-01-19,25836616.0,From Dusk Till Dawn,6.9,1644.0,From Dusk Till Dawn Collection,"['Horror', 'Action', 'Thriller', 'Crime']",A Band Apart,Dimension Films,Los Hooligans Productions,Seth Gecko,George Clooney,Robert Rodriguez,1996,1.359821894736842,viernes
50000000.0,11859,Fair Game,5.912223,1995-11-03,11534477.0,Fair Game,4.1,54.0,,"['Action', 'Thriller', 'Romance']",Silver Pictures,Warner Bros.,,Max Kirkpatrick,William Baldwin,Andrew Sipes,1995,0.23068954,viernes
0.0,28387,Kicking and Screaming,3.367276,1995-10-06,718490.0,Kicking and Screaming,7.0,36.0,,"['Comedy', 'Drama', 'Romance']",Castleberg Productions,Sandollar Productions,,Grover,Josh Hamilton,Noah Baumbach,1995,0.0,viernes
0.0,48750,Les misérables,1.479446,1995-03-22,0.0,Les Miserables,6.6,8.0,,"['Drama', 'History']",Les Films 13,Canal+,TF1,Henri Fortin / Jean Valjean,Jean-Paul Belmondo,Claude Lelouch,1995,0.0,miã©rcoles
0.0,20927,Bed of Roses,10.412194,1996-01-26,19030691.0,Bed of Roses,5.1,27.0,,"['Drama', 'Romance']",New Line Cinema,Juno Pix,,Lewis Farrell,Christian Slater,Michael Goldenberg,1996,0.0,viernes
15000000.0,36929,Big Bully,2.936443,1996-01-26,2042530.0,Big Bully,3.9,16.0,,"['Comedy', 'Family']",Warner Bros.,Morgan Creek Productions,,David Leary,Rick Moranis,Steve Miner,1996,0.1361686666666666,viernes
20000000.0,9102,Screamers,12.758848,1995-09-08,5781885.0,Screamers,6.1,154.0,Screamers Collection,"['Horror', 'Science Fiction']",The Movie Network (TMN),Allegro Films,Fuji Eight Company Ltd.,Colonel Hendricksson,Peter Weller,Christian Duguay,1995,0.28909425,viernes
0.0,124626,Nico Icon,0.133893,1995-02-18,0.0,Nico Icon,7.3,3.0,,['Documentary'],Zweites Deutsches Fernsehen (ZDF),Ciak Filmproduktion,Bluehorse Films,Herself,Nico,Susanne Ofteringer,1995,0.0,sã¡bado
0.0,27526,The Crossing Guard,5.756462,1995-11-15,0.0,The Crossing Guard,6.1,74.0,,"['Drama', 'Thriller']",Miramax Films,,,Freddy Gale,Jack Nicholson,Sean Penn,1995,0.0,miã©rcoles
44000000.0,9623,The Juror,6.010579,1996-02-02,0.0,The Juror,5.5,91.0,,"['Drama', 'Thriller']",Columbia Pictures Corporation,,,Annie Laird,Demi Moore,Brian Gibson,1996,0.0,viernes
0.0,46785,بادکنک سفید,1.196256,1995-01-01,0.0,The White Balloon,7.5,20.0,,"['Family', 'Drama']",I.R.I.B. Channel 2,Ferdos Films,,Razieh,Aida Mohammadkhani,Jafar Panahi,1995,0.0,domingo
8000000.0,400,Things to Do in Denver When You're Dead,4.486179,1995-12-01,529766.0,Things to Do in Denver When You're Dead,6.7,87.0,,"['Drama', 'Crime']",Miramax Films,,,Jimmy 'The Saint' Tosnia,Andy García,Gary Fleder,1995,0.06622075,viernes
900000.0,880,Antonia,2.030174,1995-09-12,0.0,Antonia's Line,7.2,26.0,,"['Drama', 'Comedy']",Bergen Film,Bard Entertainments,NPS Televisie,Antonia,Willeke van Ammelrooy,Marleen Gorris,1995,0.0,martes
0.0,146599,Once Upon a Time... When We Were Colored,0.252287,1996-01-26,0.0,Once Upon a Time... When We Were Colored,4.5,2.0,,"['Romance', 'Drama']",BET Pictures,United Image Entertainme,,Poppa,"Al Freeman, Jr.",Tim Reid,1996,0.0,viernes
0.0,188588,Last Summer in the Hamptons,0.531159,1995-11-22,0.0,Last Summer in the Hamptons,0.0,0.0,,,,,,Oona Hart,Victoria Foyt,Henry Jaglom,1995,0.0,miã©rcoles
0.0,8447,Angels and Insects,2.15166,1995-09-10,0.0,Angels and Insects,6.3,17.0,,"['Drama', 'Romance']",Playhouse International Pictures,The Samuel Goldwyn Company,,William Adamson,Mark Rylance,Philip Haas,1995,0.0,domingo
38000000.0,10534,White Squall,9.568604,1996-02-02,10300000.0,White Squall,6.3,86.0,,"['Action', 'Drama']",Hollywood Pictures,Largo Entertainment,Scott Free Productions,Captain Christopher 'Skipper' Sheldon,Jeff Bridges,Ridley Scott,1996,0.2710526315789474,viernes
16000000.0,17414,Dunston Checks In,4.814825,1996-01-12,0.0,Dunston Checks In,5.1,59.0,,"['Adventure', 'Comedy', 'Family']",Twentieth Century Fox Film Corporation,Joe Wizan/Todd Black,,Robert Grant,Jason Alexander,Ken Kwapis,1996,0.0,viernes
0.0,13997,Black Sheep,8.963037,1996-02-01,32.0,Black Sheep,6.0,124.0,,['Comedy'],Paramount Pictures,,,Mike Donnelly,Chris Farley,Penelope Spheeris,1996,0.0,jueves
8169363.0,2086,Nick of Time,6.848591,1995-11-22,8175346.0,Nick of Time,6.1,190.0,,"['Crime', 'Drama', 'Thriller']",Paramount Pictures,,,Gene Watson,Johnny Depp,John Badham,1995,1.000732370443081,miã©rcoles
0.0,61548,The Journey of August King,0.411424,1995-09-14,0.0,The Journey of August King,6.7,3.0,,['Drama'],Miramax Films,Addis Wechsler Pictures,,August King,Jason Patric,John Duigan,1995,0.0,jueves
47000000.0,9095,Mary Reilly,12.866139,1996-02-23,12379402.0,Mary Reilly,5.7,77.0,,"['Drama', 'Horror', 'Thriller', 'Romance']",TriStar Pictures,NFH Productions,,Mary Reilly,Julia Roberts,Stephen Frears,1996,0.2633915319148936,viernes
14000000.0,12158,Vampire in Brooklyn,9.071127,1995-10-26,19800000.0,Vampire in Brooklyn,4.5,113.0,,"['Comedy', 'Horror', 'Romance']",Paramount Pictures,,,Maximillian | Pauly | Guido,Eddie Murphy,Wes Craven,1995,1.4142857142857144,jueves
0.0,9283,Beautiful Girls,4.670562,1996-02-09,0.0,Beautiful Girls,6.6,103.0,,"['Comedy', 'Drama', 'Romance']",Miramax Films,Woods Entertainment,,Tommy 'Birdman' Rowland,Matt Dillon,Ted Demme,1996,0.0,viernes
50000000.0,9208,Broken Arrow,14.957626,1996-02-09,150270147.0,Broken Arrow,5.7,459.0,,"['Action', 'Adventure', 'Drama', 'Thriller']",Twentieth Century Fox Film Corporation,WCG Entertainment Productions,Mark Gordon Productions,Maj. Vic 'Deak' Deakins,John Travolta,John Woo,1996,3.00540294,viernes
0.0,40154,A Midwinter's Tale,0.513391,1995-12-01,0.0,A Midwinter's Tale,7.5,6.0,,['Comedy'],Castle Rock Entertainment,Midwinter Films,,Henry,Richard Briers,Kenneth Branagh,1995,0.0,viernes
3000000.0,406,La Haine,12.108196,1995-05-31,0.0,La Haine,7.9,695.0,,['Drama'],Egg Pictures,PolyGram Filmed Entertainment,Canal+,Vinz,Vincent Cassel,Mathieu Kassovitz,1995,0.0,miã©rcoles
0.0,45549,Shopping,2.657647,1994-12-06,0.0,Shopping,5.6,13.0,,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",Channel Four Films,,,Jo,Sadie Frost,Paul W.S. Anderson,1994,0.0,martes
0.0,63076,Heidi Fleiss: Hollywood Madam,0.638211,1995-12-27,0.0,Heidi Fleiss: Hollywood Madam,6.8,4.0,,['Documentary'],British Broadcasting Corporation (BBC),Westdeutscher Rundfunk (WDR),Canadian Broadcasting Corporation (CBC),Narrator,Nick Broomfield,Nick Broomfield,1995,0.0,miã©rcoles
0.0,11062,City Hall,4.807223,1996-02-16,0.0,City Hall,6.0,67.0,,"['Drama', 'Thriller']",Columbia Pictures,Castle Rock Entertainment,,Mayor John Pappas,Al Pacino,Harold Becker,1996,0.0,viernes
7000000.0,13685,Bottle Rocket,6.904831,1996-02-21,560069.0,Bottle Rocket,6.8,285.0,,"['Comedy', 'Crime', 'Drama']",Gracie Films,Columbia Pictures Corporation,,Anthony Adams,Luke Wilson,Wes Anderson,1996,0.0800098571428571,miã©rcoles
0.0,47475,Mr. Wrong,3.329264,1996-02-16,0.0,Mr. Wrong,3.3,16.0,,"['Comedy', 'Romance']",Touchstone Pictures,,,Martha Alston,Ellen DeGeneres,Nick Castle,1996,0.0,viernes
18000000.0,2045,Unforgettable,2.464425,1996-02-23,0.0,Unforgettable,5.3,22.0,,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",Metro-Goldwyn-Mayer (MGM),Dino De Laurentiis Company,Spelling Films,Dr. David Krane,Ray Liotta,John Dahl,1996,0.0,viernes
12000000.0,9614,Happy Gilmore,9.592265,1996-02-16,41205099.0,Happy Gilmore,6.5,767.0,,['Comedy'],Universal Pictures,Brillstein-Grey Entertainment,Robert Simonds Productions,Happy Gilmore,Adam Sandler,Dennis Dugan,1996,3.43375825,viernes
24000000.0,688,The Bridges of Madison County,5.951077,1995-05-28,182016617.0,The Bridges of Madison County,7.3,397.0,,"['Drama', 'Romance']",Amblin Entertainment,Malpaso Productions,Warner Bros.,Francesca Johnson,Meryl Streep,Clint Eastwood,1995,7.584025708333333,domingo
0.0,11907,Keiner liebt mich,1.015068,1994-11-07,0.0,Nobody Loves Me,5.1,5.0,,"['Drama', 'Comedy', 'Family']",,,,Fanny Fink,Maria Schrader,Doris Dörrie,1994,0.0,lunes
0.0,10874,Muppet Treasure Island,6.902423,1996-02-16,34327391.0,Muppet Treasure Island,6.5,93.0,The Muppet Collection,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",Walt Disney Pictures,Jim Henson Productions,"Jim Henson Company, The",Long John Silver,Tim Curry,Brian Henson,1996,0.0,viernes
0.0,89333,Catwalk,0.976707,1995-12-08,0.0,Catwalk,7.0,2.0,,['Documentary'],,,,Herself,Christy Turlington,Robert Leacock,1995,0.0,viernes
0.0,96357,Headless Body in Topless Bar,0.001346,1995-05-20,0.0,Headless Body in Topless Bar,0.0,0.0,,['Crime'],,,,Man,Raymond J. Barry,James Bruce,1995,0.0,sã¡bado
