budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,Character Name,Lead actor,Director,release_year,return
16500000.0,4584,Sense and Sensibility,10.673167,1995-12-13,135000000.0,Sense and Sensibility,7.2,364.0,,"['Drama', 'Romance']",Columbia Pictures Corporation,Mirage Enterprises,,Marianne Dashwood,Kate Winslet,Ang Lee,1995,8.181818181818182
4000000.0,5,Four Rooms,9.026586,1995-12-09,4300000.0,Four Rooms,6.5,539.0,,"['Crime', 'Comedy']",Miramax Films,A Band Apart,,Ted the Bellhop,Tim Roth,Allison Anders,1995,1.075
30000000.0,9273,Ace Ventura: When Nature Calls,8.205448,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,Ace Ventura Collection,"['Crime', 'Comedy', 'Adventure']",O Entertainment,Warner Bros.,Morgan Creek Productions,Ace Ventura,Jim Carrey,Steve Oedekerk,1995,7.079517766666667
60000000.0,11517,Money Train,7.337906,1995-11-21,35431113.0,Money Train,5.4,224.0,,"['Action', 'Comedy', 'Crime']",Columbia Pictures,,,John,Wesley Snipes,Joseph Ruben,1995,0.59051855
30250000.0,8012,Get Shorty,12.669608,1995-10-20,115101622.0,Get Shorty,6.4,305.0,Chili Palmer Collection,"['Comedy', 'Thriller', 'Crime']",Jersey Films,Metro-Goldwyn-Mayer (MGM),,Chili Palmer,John Travolta,Barry Sonnenfeld,1995,3.805012297520661
50000000.0,9691,Assassins,11.065939,1995-10-06,30303072.0,Assassins,6.0,394.0,,"['Action', 'Adventure', 'Crime', 'Thriller']",Silver Pictures,Canal+,Warner Bros.,Robert Rath,Sylvester Stallone,Richard Donner,1995,0.60606144
3600000.0,451,Leaving Las Vegas,10.332025,1995-10-27,49800000.0,Leaving Las Vegas,7.1,365.0,,"['Drama', 'Romance']",United Artists,Intial Productions,,Ben Sanderson,Nicolas Cage,Mike Figgis,1995,13.833333333333334
12000000.0,9263,Now and Then,8.681325,1995-10-20,27400000.0,Now and Then,6.6,91.0,,"['Comedy', 'Drama', 'Family']",New Line Cinema,,,Young Roberta Martin,Christina Ricci,Lesli Linka Glatter,1995,2.283333333333333
18000000.0,902,La Cité des Enfants Perdus,9.822423,1995-05-16,1738611.0,The City of Lost Children,7.6,308.0,,"['Fantasy', 'Science Fiction', 'Adventure']",Procirep,Constellation Productions,France 3 Cinéma,One,Ron Perlman,Jean-Pierre Jeunet,1995,0.0965895
29500000.0,63,Twelve Monkeys,12.297305,1995-12-29,168840000.0,Twelve Monkeys,7.4,2470.0,,"['Science Fiction', 'Thriller', 'Mystery']",Universal Pictures,Atlas Entertainment,Classico,James Cole,Bruce Willis,Terry Gilliam,1995,5.7233898305084745
30000000.0,9598,Babe,14.404764,1995-07-18,254134910.0,Babe,6.0,756.0,Babe Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']",Universal Pictures,Kennedy Miller Productions,,Babe the Gallant Pig (voice),Christine Cavanaugh,Chris Noonan,1995,8.471163666666667
11000000.0,687,Dead Man Walking,6.891317,1995-12-29,39363635.0,Dead Man Walking,7.3,350.0,,['Drama'],Havoc,PolyGram Filmed Entertainment,Working Title Films,Sister Helen Prejean,Susan Sarandon,Tim Robbins,1995,3.5785122727272727
18000000.0,9312,Mortal Kombat,10.870138,1995-08-18,122195920.0,Mortal Kombat,5.4,452.0,Mortal Kombat Collection,"['Action', 'Fantasy']",New Line Cinema,Threshold Entertainment,,Lord Rayden,Christopher Lambert,Paul W.S. Anderson,1995,6.788662222222222
20000000.0,577,To Die For,10.448481,1995-05-20,21284514.0,To Die For,6.7,177.0,,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",The Rank Organisation,Columbia Pictures Corporation,,Suzanne Stone Maretto,Nicole Kidman,Gus Van Sant,1995,1.0642257
10000000.0,11861,How To Make An American Quilt,4.485958,1995-10-06,23574130.0,How To Make An American Quilt,6.5,38.0,,"['Drama', 'Romance']",Universal Pictures,Amblin Entertainment,,Finn Dodd,Winona Ryder,Jocelyn Moorhouse,1995,2.357413
33000000.0,807,Se7en,18.45743,1995-09-22,327311859.0,Se7en,8.1,5915.0,,"['Crime', 'Mystery', 'Thriller']",New Line Cinema,Juno Pix,Cecchi Gori Pictures,Detective David Mills,Brad Pitt,David Fincher,1995,9.91854118181818
55000000.0,10530,Pocahontas,13.280069,1995-06-14,346079773.0,Pocahontas,6.7,1509.0,Pocahontas Collection,"['Adventure', 'Animation', 'Drama', 'Family']",Walt Disney Pictures,Walt Disney Feature Animation,,Pocahontas (voice),Irene Bedard,Mike Gabriel,1995,6.292359509090909
6000000.0,629,The Usual Suspects,16.302466,1995-07-19,23341568.0,The Usual Suspects,8.1,3334.0,,"['Drama', 'Crime', 'Thriller']",Blue Parrot Productions,Bad Hat Harry Productions,,Michael McManus,Stephen Baldwin,Bryan Singer,1995,3.890261333333333
15000000.0,11448,Mighty Aphrodite,15.899134,1995-09-13,6700000.0,Mighty Aphrodite,6.7,145.0,,"['Comedy', 'Romance']",Miramax Films,Magnolia Pictures,,Lenny,Woody Allen,Woody Allen,1995,0.4466666666666666
3500000.0,10634,Friday,14.56965,1995-04-26,28215918.0,Friday,7.0,513.0,Friday Collection,['Comedy'],New Line Cinema,,,Craig Jones,Ice Cube,F. Gary Gray,1995,8.061690857142857
19000000.0,755,From Dusk Till Dawn,15.339153,1996-01-19,25836616.0,From Dusk Till Dawn,6.9,1644.0,From Dusk Till Dawn Collection,"['Horror', 'Action', 'Thriller', 'Crime']",A Band Apart,Dimension Films,Los Hooligans Productions,Seth Gecko,George Clooney,Robert Rodriguez,1996,1.359821894736842
50000000.0,11859,Fair Game,5.912223,1995-11-03,11534477.0,Fair Game,4.1,54.0,,"['Action', 'Thriller', 'Romance']",Silver Pictures,Warner Bros.,,Max Kirkpatrick,William Baldwin,Andrew Sipes,1995,0.23068954
15000000.0,36929,Big Bully,2.936443,1996-01-26,2042530.0,Big Bully,3.9,16.0,,"['Comedy', 'Family']",Warner Bros.,Morgan Creek Productions,,David Leary,Rick Moranis,Steve Miner,1996,0.1361686666666666
20000000.0,9102,Screamers,12.758848,1995-09-08,5781885.0,Screamers,6.1,154.0,Screamers Collection,"['Horror', 'Science Fiction']",The Movie Network (TMN),Allegro Films,Fuji Eight Company Ltd.,Colonel Hendricksson,Peter Weller,Christian Duguay,1995,0.28909425
8000000.0,400,Things to Do in Denver When You're Dead,4.486179,1995-12-01,529766.0,Things to Do in Denver When You're Dead,6.7,87.0,,"['Drama', 'Crime']",Miramax Films,,,Jimmy 'The Saint' Tosnia,Andy García,Gary Fleder,1995,0.06622075
38000000.0,10534,White Squall,9.568604,1996-02-02,10300000.0,White Squall,6.3,86.0,,"['Action', 'Drama']",Hollywood Pictures,Largo Entertainment,Scott Free Productions,Captain Christopher 'Skipper' Sheldon,Jeff Bridges,Ridley Scott,1996,0.2710526315789474
8169363.0,2086,Nick of Time,6.848591,1995-11-22,8175346.0,Nick of Time,6.1,190.0,,"['Crime', 'Drama', 'Thriller']",Paramount Pictures,,,Gene Watson,Johnny Depp,John Badham,1995,1.000732370443081
47000000.0,9095,Mary Reilly,12.866139,1996-02-23,12379402.0,Mary Reilly,5.7,77.0,,"['Drama', 'Horror', 'Thriller', 'Romance']",TriStar Pictures,NFH Productions,,Mary Reilly,Julia Roberts,Stephen Frears,1996,0.2633915319148936
14000000.0,12158,Vampire in Brooklyn,9.071127,1995-10-26,19800000.0,Vampire in Brooklyn,4.5,113.0,,"['Comedy', 'Horror', 'Romance']",Paramount Pictures,,,Maximillian | Pauly | Guido,Eddie Murphy,Wes Craven,1995,1.4142857142857144
50000000.0,9208,Broken Arrow,14.957626,1996-02-09,150270147.0,Broken Arrow,5.7,459.0,,"['Action', 'Adventure', 'Drama', 'Thriller']",Twentieth Century Fox Film Corporation,WCG Entertainment Productions,Mark Gordon Productions,Maj. Vic 'Deak' Deakins,John Travolta,John Woo,1996,3.00540294
7000000.0,13685,Bottle Rocket,6.904831,1996-02-21,560069.0,Bottle Rocket,6.8,285.0,,"['Comedy', 'Crime', 'Drama']",Gracie Films,Columbia Pictures Corporation,,Anthony Adams,Luke Wilson,Wes Anderson,1996,0.0800098571428571
12000000.0,9614,Happy Gilmore,9.592265,1996-02-16,41205099.0,Happy Gilmore,6.5,767.0,,['Comedy'],Universal Pictures,Brillstein-Grey Entertainment,Robert Simonds Productions,Happy Gilmore,Adam Sandler,Dennis Dugan,1996,3.43375825
24000000.0,688,The Bridges of Madison County,5.951077,1995-05-28,182016617.0,The Bridges of Madison County,7.3,397.0,,"['Drama', 'Romance']",Amblin Entertainment,Malpaso Productions,Warner Bros.,Francesca Johnson,Meryl Streep,Clint Eastwood,1995,7.584025708333333
72000000.0,197,Braveheart,20.755149,1995-05-24,210000000.0,Braveheart,7.7,3404.0,,"['Action', 'Drama', 'History', 'War']",Icon Entertainment International,The Ladd Company,B.H. Finance C.V.,William Wallace,Mel Gibson,Mel Gibson,1995,2.9166666666666665
7500000.0,33542,紅番區,12.314278,1995-01-30,32392047.0,Rumble in the Bronx,6.5,245.0,,"['Crime', 'Action', 'Comedy', 'Thriller']",New Line Cinema,Golden Harvest Company,,Keung,Jackie Chan,Stanley Tong,1995,4.3189396
25000000.0,78406,Steal Big Steal Little,1.522412,1995-09-29,6278139.0,Steal Big Steal Little,5.1,7.0,,"['Comedy', 'Drama']",Savoy Pictures,,,Ruben Martinez / Robby Martin,Andy García,Andrew Davis,1995,0.25112556
40000000.0,11066,Boomerang,6.506983,1992-06-30,70100000.0,Boomerang,5.4,139.0,,"['Comedy', 'Romance']",Paramount Pictures,,,Marcus Graham,Eddie Murphy,Reginald Hudlin,1992,1.7525
7000000.0,2074,Flirting with Disaster,5.579088,1996-03-22,14702438.0,Flirting with Disaster,6.3,66.0,,"['Comedy', 'Romance']",Miramax Films,,,Mel Coplin,Ben Stiller,David O. Russell,1996,2.100348285714286
50000000.0,11863,Jade,11.418917,1995-10-13,9851610.0,Jade,5.1,45.0,,"['Action', 'Thriller', 'Mystery', 'Romance']",Paramount Pictures,,,David Corelli,David Caruso,William Friedkin,1995,0.1970322
31000000.0,11000,The Birdcage,6.49968,1996-03-08,185260553.0,The Birdcage,6.7,303.0,,['Comedy'],United Artists,,,Armand Goldman,Robin Williams,Mike Nichols,1996,5.976146870967742
19000000.0,9737,Bad Boys,9.262184,1995-04-07,141407024.0,Bad Boys,6.5,1729.0,Bad Boys Collection,"['Action', 'Comedy', 'Crime', 'Thriller']",Columbia Pictures,Don Simpson/Jerry Bruckheimer Films,,Detective Mike Lowrey,Will Smith,Michael Bay,1995,7.442474947368421
4000000.0,22279,An Awfully Big Adventure,0.922958,1995-07-21,851545.0,An Awfully Big Adventure,6.0,11.0,,"['Romance', 'Drama', 'Comedy']",Fine Line Features,BBC,British Screen Productions,P.L. O'Hara,Alan Rickman,Mike Newell,1995,0.21288625
52000000.0,568,Apollo 13,18.761467,1995-06-30,355237933.0,Apollo 13,7.3,1637.0,,['Drama'],Imagine Entertainment,Universal Pictures,,Jim Lovell,Tom Hanks,Ron Howard,1995,6.831498711538462
28000000.0,11780,Rob Roy,10.193549,1995-04-13,31596911.0,Rob Roy,6.5,151.0,,['Adventure'],United Artists,Talisman Productions,,Robert Roy MacGregor (Rob Roy),Liam Neeson,Michael Caton-Jones,1995,1.1284611071428572
100000000.0,414,Batman Forever,13.321354,1995-06-16,336529144.0,Batman Forever,5.2,1529.0,Batman Collection,"['Action', 'Crime', 'Fantasy']",Warner Bros.,Polygram Filmed Entertainment,,Bruce Wayne / Batman,Val Kilmer,Joel Schumacher,1995,3.36529144
2000000.0,5894,Blue in the Face,11.528147,1995-09-15,1275000.0,Blue in the Face,6.8,28.0,Brooklyn Cigar Store Collection,['Comedy'],Miramax Films,InterAL,,Auggie Wren,Harvey Keitel,Paul Auster,1995,0.6375
11000000.0,1775,Canadian Bacon,5.391556,1995-06-08,178104.0,Canadian Bacon,5.9,57.0,,"['Action', 'Comedy']",PolyGram Filmed Entertainment,,,Sheriff Bud B. Boomer,John Candy,Michael Moore,1995,0.0161912727272727
50000000.0,8839,Casper,12.812539,1995-05-26,287928194.0,Casper,6.0,1045.0,Casper Collection,"['Fantasy', 'Comedy', 'Family']",Universal Pictures,Amblin Entertainment,The Harvey Entertainment Company,Kathleen 'Kat' Harvey,Christina Ricci,Brad Silberling,1995,5.75856388
25000000.0,20649,Clockers,4.558992,1995-09-15,13071518.0,Clockers,6.8,69.0,,"['Mystery', 'Crime', 'Drama']",Universal Pictures,40 Acres & A Mule Filmworks,,Det. Rocco Klein,Harvey Keitel,Spike Lee,1995,0.52286072
50000000.0,10329,Congo,7.260574,1995-06-09,152022101.0,Congo,5.0,214.0,,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",Paramount Pictures,"Kennedy/Marshall Company, The",,Dr. Karen Ross,Laura Linney,Frank Marshall,1995,3.04044202
53000000.0,8963,Crimson Tide,8.657365,1995-05-12,157387195.0,Crimson Tide,7.0,508.0,,"['Action', 'Thriller', 'Drama']",Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films,,Lt. Commander Ron Hunter,Denzel Washington,Tony Scott,1995,2.969569716981132
7000000.0,8068,Desperado,6.950458,1995-08-25,25405445.0,Desperado,6.8,898.0,Mexico Trilogy,"['Thriller', 'Action', 'Crime']",Columbia Pictures,Los Hooligans Productions,,El Mariachi,Antonio Banderas,Robert Rodriguez,1995,3.6293492857142855
27000000.0,8512,Devil in a Blue Dress,4.646132,1995-09-15,16140822.0,Devil in a Blue Dress,6.3,88.0,,"['Drama', 'Mystery', 'Thriller']",TriStar Pictures,Mundy Lane Entertainment,,Ezekiel 'Easy' Rawlins,Denzel Washington,Carl Franklin,1995,0.5978082222222222
90000000.0,1572,Die Hard: With a Vengeance,15.138855,1995-05-19,366101666.0,Die Hard: With a Vengeance,6.9,2094.0,Die Hard Collection,"['Action', 'Thriller']",Twentieth Century Fox Film Corporation,Cinergi Pictures Entertainment,,John McClane,Bruce Willis,John McTiernan,1995,4.067796288888889
55000000.0,6520,First Knight,15.178338,1995-07-07,127600435.0,First Knight,5.9,319.0,,"['Action', 'Adventure', 'Drama', 'Romance']",Columbia Pictures Corporation,First Knight Productions,,King Arthur,Sean Connery,Jerry Zucker,1995,2.320007909090909
20000000.0,10428,Hackers,14.810519,1995-09-14,7563728.0,Hackers,6.2,406.0,,"['Action', 'Crime', 'Thriller', 'Drama']",United Artists,Suftley,,Dade Murphy / 'Crash Override' / 'Zero Cool',Jonny Lee Miller,Iain Softley,1995,0.3781864
25000000.0,9886,Johnny Mnemonic,11.715868,1995-05-26,19075720.0,Johnny Mnemonic,5.5,380.0,,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",TriStar Pictures,Alliance Communications Corporation,,Johnny Mnemonic,Keanu Reeves,Robert Longo,1995,0.7630288
90000000.0,9482,Judge Dredd,8.184815,1995-06-30,113493481.0,Judge Dredd,5.4,643.0,,['Science Fiction'],Hollywood Pictures,Cinergi Pictures Entertainment,,Judge Joseph Dredd,Sylvester Stallone,Danny Cannon,1995,1.2610386777777778
1500000.0,9344,Kids,4.877872,1995-07-28,7412216.0,Kids,6.8,280.0,,"['Drama', 'Crime']",Miramax Films,,,Telly,Leo Fitzpatrick,Larry Clark,1995,4.941477333333333
500000.0,9071,Living in Oblivion,10.058329,1995-01-20,1148752.0,Living in Oblivion,7.2,64.0,,"['Drama', 'Comedy']",JDI productions,Lemon Sky Productions,,Nick Reve,Steve Buscemi,Tom DiCillo,1995,2.297504
6000000.0,2293,Mallrats,8.25547,1995-10-20,2122561.0,Mallrats,6.8,400.0,,"['Romance', 'Comedy']",Universal Pictures,Gramercy Pictures,Alphaville Films,Brodie Bruce,Jason Lee,Kevin Smith,1995,0.3537601666666666
15000000.0,9070,Mighty Morphin Power Rangers: The Movie,7.024227,1995-06-30,66000000.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0,Power Rangers Collection,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",Twentieth Century Fox Film Corporation,Saban Entertainment,Toei Company,Kimberly Hart / Pink Ranger,Amy Jo Johnson,Bryan Spicer,1995,4.4
2.0,48787,Mute Witness,2.466066,1995-09-28,1.0,Mute Witness,6.4,36.0,,"['Thriller', 'Foreign']",Comet Film Produktion GmbH,Avrora Media,Cobblestone Pictures,Billy Hughes,Marina Zudina,Anthony Waller,1995,0.5
22000000.0,1642,The Net,13.304342,1995-07-28,110627965.0,The Net,5.6,359.0,Síť (kolekce),"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",Columbia Pictures,,,Angela Bennett/Ruth Marx,Sandra Bullock,Irwin Winkler,1995,5.028543863636363
150000.0,36196,Party Girl,1.165039,1995-06-09,472370.0,Party Girl,5.8,14.0,,['Comedy'],Party Productions,,,Mary,Parker Posey,Daisy von Scherler Mayer,1995,3.1491333333333333
8.0,11980,The Prophecy,10.187623,1995-09-01,16.0,The Prophecy,6.4,139.0,The Prophecy Collection,"['Fantasy', 'Horror', 'Thriller']",Dimension Films,,,Gabriel,Christopher Walken,Gregory Widen,1995,2.0
50000000.0,10533,The Scarlet Letter,6.752119,1995-10-13,10382407.0,The Scarlet Letter,5.5,111.0,,"['Drama', 'History', 'Romance']",Hollywood Pictures,Cinergi Pictures Entertainment,,Hester Prynne,Demi Moore,Roland Joffé,1995,0.20764814
45000000.0,10802,Showgirls,17.502375,1995-09-22,20350754.0,Showgirls,4.9,261.0,Showgirls Collection,['Drama'],United Artists,Le Studio Canal+,Carolco Pictures,Nomi Malone,Elizabeth Berkley,Paul Verhoeven,1995,0.4522389777777778
7000000.0,10149,Smoke,5.552946,1995-06-09,8349430.0,Smoke,7.2,115.0,Brooklyn Cigar Store Collection,"['Comedy', 'Drama']",Miramax Films,,,Augustus 'Auggie' Wren,Harvey Keitel,Wayne Wang,1995,1.1927757142857145
35000000.0,9348,Species,13.492845,1995-07-07,113374103.0,Species,5.5,457.0,Species Collection,"['Science Fiction', 'Horror', 'Action']",Metro-Goldwyn-Mayer (MGM),,,Sil,Natasha Henstridge,Roger Donaldson,1995,3.2392600857142857
42000000.0,281,Strange Days,11.223055,1995-10-13,7959291.0,Strange Days,6.8,334.0,,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",Lightstorm Entertainment,,,Lenny Nero,Ralph Fiennes,Kathryn Bigelow,1995,0.1895069285714285
14000000.0,79593,The Tie That Binds,1.820419,1995-09-08,5780000.0,The Tie That Binds,4.6,9.0,,['Thriller'],Hollywood Pictures,PolyGram Filmed Entertainment,Interscope Communications,Leann Netherwood,Daryl Hannah,Wesley Strick,1995,0.4128571428571428
60000000.0,3512,Under Siege 2: Dark Territory,7.490247,1995-07-13,104324083.0,Under Siege 2: Dark Territory,5.6,217.0,Under Siege Collection,"['Action', 'Thriller']",Regency Enterprises,Warner Bros.,Seagal/Nasso Productions,Casey Ryback,Steven Seagal,Geoff Murphy,1995,1.738734716666667
20000000.0,9560,A Walk in the Clouds,9.715639,1995-08-11,50012507.0,A Walk in the Clouds,6.5,168.0,,"['Drama', 'Romance']",Twentieth Century Fox Film Corporation,Zucker Brothers Productions,,Paul Sutton,Keanu Reeves,Alfonso Aráu,1995,2.50062535
175000000.0,9804,Waterworld,16.885184,1995-07-28,264218220.0,Waterworld,5.9,1017.0,,"['Adventure', 'Action']",Universal Pictures,Gordon Company,Davis Entertainment,Mariner,Kevin Costner,Kevin Reynolds,1995,1.5098184
2800000.0,50797,Утомлённые солнцем,2.486073,1994-05-01,2616503.0,Burnt by the Sun,6.7,35.0,Burnt by the Sun Trilogy,['Drama'],Canal+,Studio Trite,Caméra One,Col. Sergei Petrovich Kotov,Nikita Mikhalkov,Nikita Mikhalkov,1994,0.9344653571428572
2500000.0,76,Before Sunrise,11.304979,1995-01-27,5535405.0,Before Sunrise,7.7,984.0,Before... Collection,"['Drama', 'Romance']",Detour Film Production,Warner Bros.,,Jesse,Ethan Hawke,Richard Linklater,1995,2.214162
10000000.0,11017,Billy Madison,6.638116,1995-02-10,26488734.0,Billy Madison,6.2,464.0,,['Comedy'],Jack Giarraputo Productions,,,Billy Madison,Adam Sandler,Tamra Davis,1995,2.6488734
21000000.0,9382,Boys on the Side,3.030309,1995-02-03,23450000.0,Boys on the Side,6.3,48.0,,"['Comedy', 'Drama']",Regency Enterprises,Alcor Films,Canal+,Jane Deluca,Whoopi Goldberg,Herbert Ross,1995,1.1166666666666667
27000.0,2292,Clerks,10.513367,1994-09-13,3151130.0,Clerks,7.4,769.0,Clerks Collection,['Comedy'],Miramax Films,View Askew Productions,,Dante Hicks,Brian O'Halloran,Kevin Smith,1994,116.70851851851852
25000000.0,1909,Don Juan DeMarco,7.438934,1994-10-01,22200000.0,Don Juan DeMarco,6.3,184.0,,"['Romance', 'Drama', 'Comedy']",New Line Cinema,American Zoetrope,,Don Juan deMarco,Johnny Depp,Jeremy Leven,1994,0.888
55000000.0,8984,Disclosure,11.812244,1994-12-09,214015089.0,Disclosure,5.9,217.0,,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",Warner Bros.,Baltimore Pictures,,Tom Sanders,Michael Douglas,Barry Levinson,1994,3.891183436363636
16000000.0,8467,Dumb and Dumber,9.844558,1994-12-16,247275374.0,Dumb and Dumber,6.5,1894.0,Dumb and Dumber Collection,['Comedy'],New Line Cinema,Motion Picture Corporation of America (MPCA),,Lloyd Christmas,Jim Carrey,Peter Farrelly,1994,15.454710875
18000000.0,522,Ed Wood,11.720358,1994-09-27,5887457.0,Ed Wood,7.3,639.0,,"['Comedy', 'Drama', 'History']",Touchstone Pictures,,,Ed Wood,Johnny Depp,Tim Burton,1994,0.3270809444444444
15000000.0,27303,Hideaway,8.182165,1995-03-03,12201255.0,Hideaway,5.0,24.0,,"['Drama', 'Thriller']",TriStar Pictures,,,Hatch Harrison,Jeff Goldblum,Brett Leonard,1995,0.813417
700000.0,14275,Hoop Dreams,9.47666,1994-09-12,7830611.0,Hoop Dreams,7.7,91.0,,['Documentary'],Fine Line Features,Kartemquin Films,,Himself,William Gates,Steve James,1994,11.186587142857142
5000000.0,1024,Heavenly Creatures,9.438042,1994-09-02,3049135.0,Heavenly Creatures,6.9,299.0,,"['Drama', 'Fantasy']",WingNut Films,Miramax Films,New Zealand Film Commission,Pauline Parker Rieper,Melanie Lynskey,Peter Jackson,1994,0.609827
10500000.0,17207,Houseguest,2.688562,1995-01-06,26325256.0,Houseguest,6.0,17.0,,"['Comedy', 'Family']",Caravan Pictures,Hollywood Pictures,,Kevin Franklin,Sinbad,Randall Miller,1995,2.507167238095238
60000000.0,628,Interview with the Vampire,11.970205,1994-11-11,223664608.0,Interview with the Vampire,7.2,1558.0,The Vampire Chronicles,"['Horror', 'Romance']",Geffen Pictures,,,Louis de Pointe du Lac,Brad Pitt,Neil Jordan,1994,3.7277434666666656
14000000.0,87729,Jefferson in Paris,1.596058,1995-03-31,2474000.0,Jefferson in Paris,5.2,10.0,,"['Drama', 'Romance']",Merchant Ivory Productions,Touchstone Pictures,,Thomas Jefferson,Nick Nolte,James Ivory,1995,0.1767142857142857
60000000.0,6280,Junior,6.710215,1994-11-22,37000000.0,Junior,4.7,381.0,,"['Comedy', 'Family', 'Romance']",Universal Pictures,Northern Lights Entertainment,,Dr. Alex Hesse,Arnold Schwarzenegger,Ivan Reitman,1994,0.6166666666666667
2000000.0,18183,Como agua para chocolate,4.126083,1992-04-16,21665468.0,Like Water for Chocolate,6.6,70.0,,"['Drama', 'Romance']",Aviacsa,Cinevista,,Pedro Muzquiz,Marco Leonardi,Alfonso Aráu,1992,10.832734
30000000.0,4476,Legends of the Fall,12.199047,1994-12-16,160638883.0,Legends of the Fall,7.2,636.0,,"['Adventure', 'Drama', 'Romance', 'War']",Bedford Falls Productions,TriStar Pictures,Pangaea,Tristan Ludlow,Brad Pitt,Edward Zwick,1994,5.354629433333334
17000000.0,28313,Losing Isaiah,7.698526,1995-03-17,7603766.0,Losing Isaiah,6.4,28.0,,['Drama'],Paramount Pictures,,,Margaret Lewin,Jessica Lange,Stephen Gyllenhaal,1995,0.4472803529411764
45000000.0,3036,Frankenstein,14.287753,1994-11-04,112006296.0,Mary Shelley's Frankenstein,6.1,272.0,,"['Drama', 'Horror', 'Science Fiction', 'Romance']",American Zoetrope,TriStar Pictures,,The Creature,Robert De Niro,Kenneth Branagh,1994,2.4890288
6.0,17402,Miami Rhapsody,1.137266,1995-01-27,5.0,Miami Rhapsody,5.6,7.0,,"['Comedy', 'Romance']",Hollywood Pictures,,,Gwyn Marcus,Sarah Jessica Parker,David Frankel,1995,0.8333333333333334
31000000.0,1945,Nell,5.930957,1994-12-23,106683817.0,Nell,6.1,128.0,,"['Drama', 'Thriller']",Twentieth Century Fox Film Corporation,Egg Pictures,PolyGram Filmed Entertainment,Nell Kellty,Jodie Foster,Michael Apted,1994,3.441413451612904
